200210	2003-01
200211	2003-02
200212	2003-03
200301	2003-04
200302	2003-05
200303	2003-06
200304	2003-07
200305	2003-08
200306	2003-09
200307	2003-10
200308	2003-11
200309	2003-12
200310	2004-01
200311	2004-02
200312	2004-03
200401	2004-04
200402	2004-05
200403	2004-06
200404	2004-07
200405	2004-08
200406	2004-09
200407	2004-10
200408	2004-11
200409	2004-12
200410	2005-01
200411	2005-02
200412	2005-03
200501	2005-04
200502	2005-05
200503	2005-06
200504	2005-07
200505	2005-08
200506	2005-09
200507	2005-10
200508	2005-11
200509	2005-12
